,City,County,City Latitude,City Longtitude,Population,Median Income,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital
261,Epworth,,34.925622,-84.42981,1580,23077,1,1,1,10,53,3.1966338200185533
262,Esom Hill,,33.99994,-85.172297,23814,23343,1,1,4,25,58,1.6936358302301748
263,Eton,,34.822176,-84.75967,33460,24457,1,1,2,12,56,3.199328423557168
264,Evans,,33.551145,-82.13949000000002,45542,41069,0,2,4,6,32,5.168889621530795
265,Experiment,,33.278205,-84.288803,36986,20181,1,1,3,39,78,2.956464441792031
266,Fairburn,,33.565662,-84.59321,32729,30412,0,1,9,41,73,9.2023905982096
267,Fairmount,,34.434629,-84.70133,4143,28901,0,0,4,32,61,13.85910562668504
268,Fargo,,30.680867,-82.58028,415,25509,0,0,0,4,18,26.675492997171084
269,Farmington,,33.775001,-83.42456,18337,37228,0,0,3,24,78,12.937235122278727
270,Felton,,33.88232,-85.234946,6649,24277,0,1,2,18,58,9.334219414977081
271,Fleming,,31.873145,-81.42676,923,19800,0,0,1,9,18,10.50437493367982
272,Flintstone,,34.932348,-85.35064,4646,21244,0,1,1,6,41,5.019729689411756
273,Flovilla,,33.251174,-83.89284,2376,15399,0,1,3,34,78,6.109395327916036
274,Flowery Branch,,34.188281,-83.91813,37056,33127,0,2,6,40,74,6.56884326038914
275,Folkston,,30.860915,-82.02194,10970,22647,0,0,0,3,20,31.681211915932593
276,Forest Park,,33.558053,-84.35915649999998,28077,20175,1,1,14,44,79,2.293626490529273
277,Fort Benning,,32.4346655,-84.9350505,18110,21263,1,2,2,5,39,4.188951450510908
278,Fort Stewart,,31.877821500000003,-81.60596000000002,4637,27002,1,1,1,10,22,2.658145419868316
279,Fort Valley,,32.555679999999995,-83.88641,17701,18661,0,1,4,15,67,8.153254966932645
280,Fortson,,32.638884999999995,-85.00735999999998,6961,41761,0,1,2,4,53,7.899162874795829
